X: 394, Y: 2218
X: 343, Y: 2214
X: 346, Y: 2202
X: 399, Y: 2203
X: 443, Y: 2203
X: 446, Y: 2221
X: 358, Y: 2217
X: 656, Y: 2230
X: 559, Y: 2224
X: 672, Y: 2209
X: 698, Y: 2220
X: 851, Y: 2209
X: 924, Y: 2221
X: 953, Y: 2218
X: 924, Y: 2206
X: 841, Y: 2222
X: 828, Y: 2225
X: 1124, Y: 2211
X: 1190, Y: 2190
X: 1191, Y: 2220
X: 1113, Y: 2219
X: 1074, Y: 2174
X: 483, Y: 3620
X: 488, Y: 3645
X: 611, Y: 3661
X: 900, Y: 3674
X: 1060, Y: 3657
X: 1097, Y: 3646
X: 1004, Y: 3637
X: 821, Y: 3657
X: 631, Y: 3645
X: 420, Y: 3654
X: 355, Y: 3639
X: 295, Y: 3654
X: 405, Y: 3653
X: 710, Y: 3659
X: 970, Y: 3636
X: 1128, Y: 3654
X: 1186, Y: 3646
X: 1173, Y: 3670
X: 1032, Y: 3666
X: 776, Y: 3664
X: 640, Y: 3651
X: 465, Y: 3639
X: 447, Y: 3645
X: 372, Y: 4406
X: 428, Y: 4405
X: 447, Y: 4425
X: 338, Y: 4405
X: 718, Y: 4418
X: 916, Y: 4391
X: 973, Y: 4417
X: 849, Y: 4415
X: 839, Y: 4401
X: 962, Y: 4387
X: 969, Y: 4391
X: 919, Y: 4419
X: 832, Y: 4401
X: 896, Y: 4381
X: 889, Y: 4405
X: 860, Y: 4404
X: 964, Y: 4412
X: 1109, Y: 4385
X: 1170, Y: 4415
X: 1199, Y: 4412
X: 1225, Y: 4412
X: 1207, Y: 4396
X: 1089, Y: 4417
X: 1082, Y: 4436
X: 1156, Y: 4442
X: 1173, Y: 4429
X: 1100, Y: 4419
X: 1172, Y: 4416
X: 675, Y: 3495
X: 835, Y: 3497
X: 970, Y: 3501
X: 941, Y: 3521
X: 715, Y: 3483
X: 641, Y: 3481
X: 599, Y: 3476
X: 604, Y: 3289
X: 789, Y: 3513
X: 652, Y: 3492
X: 376, Y: 3453
X: 889, Y: 3495
X: 1055, Y: 3526
X: 880, Y: 3521
X: 990, Y: 3509
X: 685, Y: 3490
X: 719, Y: 3490
X: 777, Y: 3496
X: 798, Y: 3503
X: 640, Y: 3498
X: 662, Y: 3499
X: 741, Y: 3498
X: 729, Y: 3500
X: 748, Y: 3502
X: 823, Y: 3506
X: 840, Y: 3501
X: 669, Y: 3509
X: 207, Y: 246
X: 180, Y: 217
X: 174, Y: 223
X: 150, Y: 218
X: 220, Y: 207
X: 248, Y: 236
X: 228, Y: 248
X: 175, Y: 235
X: 175, Y: 216
X: 203, Y: 215
X: 230, Y: 232
X: 227, Y: 251
X: 153, Y: 233
X: 152, Y: 209
X: 196, Y: 207
X: 233, Y: 215
X: 233, Y: 230
X: 190, Y: 233
X: 175, Y: 223
X: 222, Y: 223
X: 230, Y: 243
X: 210, Y: 251
X: 143, Y: 227
X: 185, Y: 208
X: 248, Y: 239
X: 496, Y: 55
X: 466, Y: 58
X: 455, Y: 49
X: 552, Y: 48
X: 565, Y: 51
X: 574, Y: 55
X: 558, Y: 65
X: 460, Y: 47
X: 456, Y: 47
X: 569, Y: 51
X: 357, Y: 2135
X: 345, Y: 2141
X: 405, Y: 2139
X: 415, Y: 2159
X: 368, Y: 2156
X: 331, Y: 2150
X: 336, Y: 2133
X: 396, Y: 2127
X: 446, Y: 2151
X: 456, Y: 2151
X: 469, Y: 2135
X: 419, Y: 2144
X: 334, Y: 2134
X: 215, Y: 251
X: 260, Y: 223
X: 252, Y: 235
X: 143, Y: 229
X: 142, Y: 207
X: 232, Y: 218
X: 239, Y: 243
X: 230, Y: 260
X: 156, Y: 228
X: 236, Y: 210
X: 778, Y: 90
X: 617, Y: 2543
X: 588, Y: 2546
X: 669, Y: 2551
X: 684, Y: 2563
X: 634, Y: 2558
X: 891, Y: 2547
X: 896, Y: 2551
X: 972, Y: 2566
X: 839, Y: 2561
X: 932, Y: 2534
X: 1154, Y: 2548
X: 1205, Y: 2546
X: 1156, Y: 2574
X: 1064, Y: 2549
X: 1113, Y: 2527
X: 1144, Y: 2547
X: 572, Y: 3526
X: 536, Y: 3514
X: 376, Y: 3511
X: 325, Y: 3510
X: 320, Y: 3528
X: 372, Y: 3529
X: 618, Y: 3519
X: 894, Y: 3512
X: 1060, Y: 3499
X: 1166, Y: 3511
X: 1191, Y: 3529
X: 1060, Y: 3535
X: 900, Y: 3524
X: 765, Y: 3517
X: 615, Y: 3503
X: 520, Y: 3511
X: 506, Y: 3521
X: 654, Y: 3524
X: 862, Y: 3522
X: 984, Y: 3514
X: 1061, Y: 3519
X: 380, Y: 2327
X: 331, Y: 2335
X: 358, Y: 2320
X: 405, Y: 2332
X: 420, Y: 2335
X: 454, Y: 44
