X: 224, Y: 1002
X: 236, Y: 1021
X: 1248, Y: 895
X: 547, Y: 807
X: 1273, Y: 488
X: 624, Y: 797
X: 1452, Y: 492
X: 980, Y: 862
X: 1277, Y: 617
X: 996, Y: 878
X: 971, Y: 879
X: 883, Y: 864
X: 950, Y: 849
X: 1018, Y: 865
X: 1019, Y: 875
X: 948, Y: 888
X: 908, Y: 867
X: 934, Y: 854
X: 981, Y: 862
X: 1016, Y: 879
X: 1404, Y: 634
X: 985, Y: 2039
X: 1343, Y: 1819
X: 940, Y: 2034
X: 1335, Y: 1811
X: 620, Y: 2045
X: 1292, Y: 1833
X: 247, Y: 2039
X: 1372, Y: 1824
X: 555, Y: 3386
X: 827, Y: 3603
X: 1319, Y: 3432
X: 961, Y: 4064
X: 1302, Y: 3639
X: 614, Y: 4068
X: 1360, Y: 3640
X: 222, Y: 4071
X: 1227, Y: 3659
X: 992, Y: 3311
X: 1366, Y: 3224
X: 1314, Y: 3264
X: 585, Y: 2906
X: 1461, Y: 2463
X: 946, Y: 2078
X: 1296, Y: 1917
X: 544, Y: 1871
X: 1168, Y: 1520
X: 932, Y: 983
X: 1320, Y: 840
X: 624, Y: 982
X: 1272, Y: 852
X: 1395, Y: 859
X: 1143, Y: 838
X: 1350, Y: 819
X: 1390, Y: 842
X: 1472, Y: 844
X: 1301, Y: 290
X: 1460, Y: 258
X: 1440, Y: 1673
X: 553, Y: 3065
X: 591, Y: 3058
X: 611, Y: 3058
X: 629, Y: 3075
X: 543, Y: 3061
X: 536, Y: 3061
X: 599, Y: 3070
X: 598, Y: 3084
X: 296, Y: 3056
X: 1214, Y: 2777
X: 991, Y: 3056
X: 974, Y: 3071
X: 930, Y: 3058
X: 984, Y: 3049
X: 997, Y: 3063
X: 1012, Y: 3077
X: 964, Y: 3066
X: 1003, Y: 3053
X: 1336, Y: 2703
X: 1337, Y: 2749
