X: 465, Y: 464
X: 429, Y: 465
X: 456, Y: 459
X: 496, Y: 454
X: 464, Y: 808
X: 432, Y: 808
X: 441, Y: 795
X: 515, Y: 791
X: 529, Y: 797
X: 495, Y: 804
X: 436, Y: 796
X: 423, Y: 788
X: 482, Y: 792
X: 479, Y: 805
X: 421, Y: 797
X: 475, Y: 792
X: 984, Y: 791
X: 1037, Y: 787
X: 1055, Y: 798
X: 1023, Y: 803
X: 1009, Y: 800
X: 1038, Y: 801
X: 1031, Y: 824
X: 837, Y: 1326
X: 987, Y: 811
X: 1029, Y: 783
X: 1045, Y: 794
X: 1034, Y: 805
X: 988, Y: 798
X: 1045, Y: 801
X: 972, Y: 1929
X: 1079, Y: 1918
X: 1080, Y: 1932
X: 1016, Y: 1939
X: 1004, Y: 1937
X: 418, Y: 1925
X: 480, Y: 1938
X: 528, Y: 1921
X: 480, Y: 1931
X: 417, Y: 1927
X: 610, Y: 1959
X: 468, Y: 2871
X: 408, Y: 2855
X: 504, Y: 2856
X: 629, Y: 2719
X: 981, Y: 2848
X: 1023, Y: 2856
X: 1048, Y: 2853
X: 800, Y: 3305
X: 793, Y: 3322
X: 974, Y: 3668
X: 1008, Y: 3659
X: 1014, Y: 3660
X: 1044, Y: 3663
X: 997, Y: 3670
X: 989, Y: 3670
X: 1049, Y: 3659
X: 1024, Y: 3668
X: 818, Y: 3903
X: 512, Y: 3665
X: 624, Y: 3880
X: 500, Y: 3671
X: 728, Y: 3884
X: 490, Y: 1614
X: 710, Y: 1899
X: 457, Y: 1614
X: 804, Y: 1897
X: 460, Y: 1619
X: 733, Y: 1890
X: 1035, Y: 816
X: 818, Y: 1334
